id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +code +iso2","#adm1 +code +iso","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
3632,KLAX,large_airport,"Los Angeles International Airport",33.94250107,-118.4079971,125,NA,US,US-CA,"Los Angeles",1,KLAX,LAX,LAX,http://www.iflylax.com/,http://en.wikipedia.org/wiki/Los_Angeles_International_Airport,,1335475,2010-01-23T11:27:55+00:00
3622,KJFK,large_airport,"John F Kennedy International Airport",40.63980103,-73.77890015,13,NA,US,US-NY,"New York",1,KJFK,JFK,JFK,http://www.panynj.gov/CommutingTravel/airports/html/kennedy.html,http://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,"Manhattan, New York City, NYC, Idlewild",1052075,2010-01-23T11:27:54+00:00
3754,KORD,large_airport,"Chicago O'Hare International Airport",41.97859955,-87.90480042,672,NA,US,US-IL,Chicago,1,KORD,ORD,ORD,http://www.flychicago.com/ohare/en/home/Pages/default.aspx,http://en.wikipedia.org/wiki/O'Hare_International_Airport,"CHI, Orchard Place",1503175,2014-08-19T18:55:27+00:00
3384,KATL,large_airport,"Hartsfield Jackson Atlanta International Airport",33.63669967651367,-84.4281005859375,1026,NA,US,US-GA,Atlanta,1,KATL,ATL,ATL,http://www.atlanta-airport.com/,http://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport,,2002475,2008-06-13T14:30:04+00:00
3878,KSFO,large_airport,"San Francisco International Airport",37.61899948120117,-122.375,13,NA,US,US-CA,"San Francisco",1,KSFO,SFO,SFO,http://www.flysfo.com/,http://en.wikipedia.org/wiki/San_Francisco_International_Airport,"QSF, QBA",1112475,2008-06-13T14:30:04+00:00
3521,KEWR,large_airport,"Newark Liberty International Airport",40.692501068115234,-74.168701171875,18,NA,US,US-NJ,Newark,1,KEWR,EWR,EWR,http://www.panynj.gov/CommutingTravel/airports/html/newarkliberty.html,http://en.wikipedia.org/wiki/Newark_Liberty_International_Airport,"Manhattan, New York City, NYC",1064475,2008-06-13T14:30:04+00:00
3631,KLAS,large_airport,"McCarran International Airport",36.08010101,-115.1520004,2181,NA,US,US-NV,"Las Vegas",1,KLAS,LAS,LAS,http://www.mccarran.com/,http://en.wikipedia.org/wiki/McCarran_International_Airport,,1068475,2010-07-05T16:48:39+00:00
3488,KDFW,large_airport,"Dallas Fort Worth International Airport",32.89680099487305,-97.03800201416016,607,NA,US,US-TX,"Dallas-Fort Worth",1,KDFW,DFW,DFW,http://www.dfwairport.com/,http://en.wikipedia.org/wiki/Dallas-Fort_Worth_International_Airport,QDF,1203175,2008-06-13T14:30:04+00:00
3670,KMCO,large_airport,"Orlando International Airport",28.429399490356445,-81.30899810791016,96,NA,US,US-FL,Orlando,1,KMCO,MCO,MCO,http://www.orlandoairports.net/,http://en.wikipedia.org/wiki/Orlando_International_Airport,"Disney World,Epcot Center",1044075,2008-06-13T14:30:04+00:00
3486,KDEN,large_airport,"Denver International Airport",39.861698150635,-104.672996521,5431,NA,US,US-CO,Denver,1,KDEN,DEN,DEN,http://www.flydenver.com/,http://en.wikipedia.org/wiki/Denver_International_Airport,"DVX, KVDX",1103275,2015-11-13T09:28:42+00:00
3685,KMIA,large_airport,"Miami International Airport",25.79319953918457,-80.29060363769531,8,NA,US,US-FL,Miami,1,KMIA,MIA,MIA,http://www.miami-airport.com/,http://en.wikipedia.org/wiki/Miami_International_Airport,"MFW, South Florida",1073075,2008-06-13T14:30:04+00:00
