airport,airport_name,municipality,iso_region,iso_country,elevation_ft,latitude_deg,longitude_deg
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Allentown,US-PA,US,393.0,40.652099609375,-75.44080352783203
ABI,"Abilene, TX: Abilene Regional",Abilene,US-TX,US,1791.0,32.4113006592,-99.6819000244
ABQ,"Albuquerque, NM: Albuquerque International Sunport",Albuquerque,US-NM,US,5355.0,35.040199,-106.609001
ABR,"Aberdeen, SD: Aberdeen Regional",Aberdeen,US-SD,US,1302.0,45.449100494384766,-98.42179870605467
ABY,"Albany, GA: Southwest Georgia Regional",Albany,US-GA,US,197.0,31.535499572753903,-84.19450378417969
ACK,"Nantucket, MA: Nantucket Memorial",Nantucket,US-MA,US,47.0,41.25310135,-70.06020355
ACT,"Waco, TX: Waco Regional",Waco,US-TX,US,516.0,31.611299514770508,-97.23049926757812
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Arcata/Eureka,US-CA,US,221.0,40.97809982299805,-124.10900115966795
ACY,"Atlantic City, NJ: Atlantic City International",Atlantic City,US-NJ,US,75.0,39.45759963989258,-74.57720184326172
ADK,"Adak Island, AK: Adak",Adak Island,US-AK,US,18.0,51.87799835205078,-176.64599609375
ADQ,"Kodiak, AK: Kodiak Airport",Kodiak,US-AK,US,78.0,57.75,-152.4940033
AEX,"Alexandria, LA: Alexandria International",Alexandria,US-LA,US,89.0,31.32740020751953,-92.54979705810548
AGS,"Augusta, GA: Augusta Regional at Bush Field",Augusta,US-GA,US,144.0,33.36989974975586,-81.9645004272461
AKN,"King Salmon, AK: King Salmon Airport",King Salmon,US-AK,US,73.0,58.67679977,-156.6490021
ALB,"Albany, NY: Albany International",Albany,US-NY,US,285.0,42.74829864501953,-73.80169677734375
ALO,"Waterloo, IA: Waterloo Regional",Waterloo,US-IA,US,873.0,42.55709838867188,-92.40029907226562
ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field",Alamosa,US-CO,US,7539.0,37.434898,-105.866997
ALW,"Walla Walla, WA: Walla Walla Regional",Walla Walla,US-WA,US,1194.0,46.09489822,-118.288002
AMA,"Amarillo, TX: Rick Husband Amarillo International",Amarillo,US-TX,US,3607.0,35.219398,-101.706001
ANC,"Anchorage, AK: Ted Stevens Anchorage International",Anchorage,US-AK,US,152.0,61.17440032958984,-149.99600219726562
APF,"Naples, FL: Naples Municipal",Naples,US-FL,US,8.0,26.1525993347,-81.7752990723
APN,"Alpena, MI: Alpena County Regional",Alpena,US-MI,US,690.0,45.0780983,-83.56030273
ART,"Watertown, NY: Watertown International",Watertown,US-NY,US,325.0,43.99190139770508,-76.02169799804688
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",Aspen,US-CO,US,7820.0,39.22320175,-106.8690033
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Atlanta,US-GA,US,1026.0,33.63669967651367,-84.4281005859375
ATW,"Appleton, WI: Appleton International",Appleton,US-WI,US,918.0,44.2580986023,-88.5190963745
ATY,"Watertown, SD: Watertown Regional",Watertown,US-SD,US,1749.0,44.91400146,-97.15470123
AUS,"Austin, TX: Austin - Bergstrom International",Austin,US-TX,US,542.0,30.194499969482425,-97.6698989868164
AVL,"Asheville, NC: Asheville Regional",Asheville,US-NC,US,2165.0,35.43619918823242,-82.54180145263672
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Wilkes-Barre/Scranton,US-PA,US,962.0,41.3385009766,-75.72339630130001
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",Phoenix,US-AZ,US,1382.0,33.30780029,-111.6549988
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",Kalamazoo,US-MI,US,874.0,42.234901428222656,-85.5521011352539
BDL,"Hartford, CT: Bradley International",Hartford,US-CT,US,173.0,41.9388999939,-72.68319702149999
BET,"Bethel, AK: Bethel Airport",Bethel,US-AK,US,126.0,60.77980042,-161.8379974
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",Scottsbluff,US-NE,US,3967.0,41.87400055,-103.5960007
BFL,"Bakersfield, CA: Meadows Field",Bakersfield,US-CA,US,510.0,35.43360138,-119.0569992
BFM,"Mobile, AL: Mobile Downtown",Mobile,US-AL,US,26.0,30.626800537100003,-88.06809997559999
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",Binghamton,US-NY,US,1636.0,42.20869827,-75.97979736
BGR,"Bangor, ME: Bangor International",Bangor,US-ME,US,192.0,44.80739974975586,-68.8281021118164
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Birmingham,US-AL,US,650.0,33.56290054,-86.75350189
BIH,"Bishop, CA: Bishop Airport",Bishop,US-CA,US,4124.0,37.3731002808,-118.363998413
BIL,"Billings, MT: Billings Logan International",Billings,US-MT,US,3652.0,45.80770111083984,-108.54299926757812
BIS,"Bismarck/Mandan, ND: Bismarck Municipal",Bismarck,US-ND,US,1661.0,46.77270126342773,-100.74600219726562
BJI,"Bemidji, MN: Bemidji Regional",Bemidji,US-MN,US,1391.0,47.50939941,-94.93370056
BKG,"Branson, MO: Branson Airport",Branson,US-MO,US,1302.0,36.532082,-93.200544
BLI,"Bellingham, WA: Bellingham International",Bellingham,US-WA,US,170.0,48.79280090332031,-122.53800201416016
BLV,"Belleville, IL: Scott AFB/MidAmerica",Belleville,US-IL,US,459.0,38.5452,-89.835197
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Bloomington/Normal,US-IL,US,871.0,40.47710037,-88.91590118
BNA,"Nashville, TN: Nashville International",Nashville,US-TN,US,599.0,36.1245002746582,-86.6781997680664
BOI,"Boise, ID: Boise Air Terminal",Boise,US-ID,US,2871.0,43.56439972,-116.2229996
BOS,"Boston, MA: Logan International",Boston,US-MA,US,20.0,42.36429977,-71.00520325
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",Beaumont/Port Arthur,US-TX,US,15.0,29.9507999420166,-94.02069854736328
BQK,"Brunswick, GA: Brunswick Golden Isles",Brunswick,US-GA,US,26.0,31.2588005065918,-81.46649932861328
BRD,"Brainerd, MN: Brainerd Lakes Regional",Brainerd,US-MN,US,1232.0,46.39830017,-94.13809967
BRO,"Brownsville, TX: Brownsville South Padre Island International",Brownsville,US-TX,US,22.0,25.90679931640625,-97.4259033203125
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",Utqiaġvik,US-AK,US,44.0,71.285402,-156.766008
BTM,"Butte, MT: Bert Mooney",Butte,US-MT,US,5550.0,45.95479965209961,-112.49700164794922
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Baton Rouge,US-LA,US,70.0,30.53319931,-91.14959717
BTV,"Burlington, VT: Burlington International",Burlington,US-VT,US,335.0,44.4719009399,-73.15329742429999
BUF,"Buffalo, NY: Buffalo Niagara International",Buffalo,US-NY,US,728.0,42.94049835,-78.73220062
BUR,"Burbank, CA: Bob Hope",Burbank,US-CA,US,778.0,34.20069885253906,-118.35900115966795
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Baltimore,US-MD,US,146.0,39.17539978,-76.66829681
BZN,"Bozeman, MT: Bozeman Yellowstone International",Bozeman,US-MT,US,4473.0,45.77750015,-111.1529999
CAE,"Columbia, SC: Columbia Metropolitan",Columbia,US-SC,US,236.0,33.93880081176758,-81.11949920654297
CAK,"Akron, OH: Akron-Canton Regional",Akron,US-OH,US,1228.0,40.91609954833984,-81.44219970703125
CBM,"Columbus, MS: Columbus AFB",Columbus,US-MS,US,219.0,33.6437988281,-88.44380187990001
CDB,"Cold Bay, AK: Cold Bay Airport",Cold Bay,US-AK,US,96.0,55.20610046386719,-162.72500610351562
CDC,"Cedar City, UT: Cedar City Regional",Cedar City,US-UT,US,5622.0,37.70100021362305,-113.0989990234375
CDV,"Cordova, AK: Merle K Mudhole Smith",Cordova,US-AK,US,54.0,60.4917984,-145.4779968
CEC,"Crescent City, CA: Jack McNamara Field",Crescent City,US-CA,US,61.0,41.78020096,-124.2369995
CGI,"Cape Girardeau, MO: Cape Girardeau Regional",Cape Girardeau,US-MO,US,342.0,37.22529983520508,-89.57080078125
CHA,"Chattanooga, TN: Lovell Field",Chattanooga,US-TN,US,683.0,35.035301208496094,-85.20379638671875
CHO,"Charlottesville, VA: Charlottesville Albemarle",Charlottesville,US-VA,US,639.0,38.13859939575195,-78.4529037475586
CHS,"Charleston, SC: Charleston AFB/International",Charleston,US-SC,US,46.0,32.89860153,-80.04049683
CIC,"Chico, CA: Chico Municipal",Chico,US-CA,US,240.0,39.79539871,-121.8580017
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Cedar Rapids,US-IA,US,869.0,41.88470077514648,-91.71080017089844
CIU,"Sault Ste. Marie, MI: Chippewa County International",Sault Ste Marie,US-MI,US,800.0,46.25080108642578,-84.47239685058594
CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",Clarksburg,US-WV,US,1217.0,39.2966003418,-80.2281036377
CLD,"Carlsbad, CA: McClellan-Palomar",Carlsbad,US-CA,US,331.0,33.12829971,-117.2799988
CLE,"Cleveland, OH: Cleveland-Hopkins International",Cleveland,US-OH,US,791.0,41.4117012024,-81.8498001099
CLL,"College Station/Bryan, TX: Easterwood Field",College Station,US-TX,US,320.0,30.58860016,-96.36380005
CLT,"Charlotte, NC: Charlotte Douglas International",Charlotte,US-NC,US,748.0,35.2140007019043,-80.94309997558594
CMH,"Columbus, OH: John Glenn Columbus International",Columbus,US-OH,US,815.0,39.99800109863281,-82.89189910888672
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",Champaign/Urbana,US-IL,US,755.0,40.03919983,-88.27809906
CMX,"Hancock/Houghton, MI: Houghton County Memorial",Hancock,US-MI,US,1095.0,47.168399810791016,-88.48909759521484
CNY,"Moab, UT: Canyonlands Field",Moab,US-UT,US,4557.0,38.75500107,-109.7549973
COD,"Cody, WY: Yellowstone Regional",Cody,US-WY,US,5102.0,44.520198822,-109.024002075
COS,"Colorado Springs, CO: City of Colorado Springs Municipal",Colorado Springs,US-CO,US,6187.0,38.805801391602,-104.70099639893
COU,"Columbia, MO: Columbia Regional",Columbia,US-MO,US,889.0,38.81809997558594,-92.21959686279295
CPR,"Casper, WY: Casper/Natrona County International",Casper,US-WY,US,5350.0,42.90800095,-106.4639969
CRP,"Corpus Christi, TX: Corpus Christi International",Corpus Christi,US-TX,US,44.0,27.77039909362793,-97.5011978149414
CRW,"Charleston/Dunbar, WV: Yeager",Charleston,US-WV,US,981.0,38.37310028076172,-81.59320068359375
CSG,"Columbus, GA: Columbus Airport",Columbus,US-GA,US,397.0,32.516300201416016,-84.93890380859375
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",Cincinnati,US-KY,US,896.0,39.0488014221,-84.6678009033
CWA,"Mosinee, WI: Central Wisconsin",Mosinee,US-WI,US,1277.0,44.7775993347,-89.6668014526
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",Cheyenne,US-WY,US,6159.0,41.15570068,-104.8119965
DAB,"Daytona Beach, FL: Daytona Beach International",Daytona Beach,US-FL,US,34.0,29.179899,-81.058098
DAL,"Dallas, TX: Dallas Love Field",Dallas,US-TX,US,487.0,32.847099,-96.851799
DAY,"Dayton, OH: James M Cox/Dayton International",Dayton,US-OH,US,1009.0,39.90240097045898,-84.21939849853516
DBQ,"Dubuque, IA: Dubuque Regional",Dubuque,US-IA,US,1077.0,42.40200043,-90.70950317
DCA,"Washington, DC: Ronald Reagan Washington National",Washington,US-DC,US,15.0,38.8521,-77.037697
DDC,"Dodge City, KS: Dodge City Regional",Dodge City,US-KS,US,2594.0,37.76340103149414,-99.9655990600586
DEC,"Decatur, IL: Decatur Airport",Decatur,US-IL,US,682.0,39.834598541259766,-88.8656997680664
DEN,"Denver, CO: Denver International",Denver,US-CO,US,5431.0,39.861698150635,-104.672996521
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas-Fort Worth,US-TX,US,607.0,32.89680099487305,-97.03800201416016
DHN,"Dothan, AL: Dothan Regional",Dothan,US-AL,US,401.0,31.3213005065918,-85.44960021972656
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",Dickinson,US-ND,US,2592.0,46.7974014282,-102.802001953
DLG,"Dillingham, AK: Dillingham Airport",Dillingham,US-AK,US,81.0,59.04470062,-158.5050049
DLH,"Duluth, MN: Duluth International",Duluth,US-MN,US,1428.0,46.8420982361,-92.1936035156
DRO,"Durango, CO: Durango La Plata County",Durango,US-CO,US,6685.0,37.1515007019,-107.753997803
DRT,"Del Rio, TX: Del Rio International",Del Rio,US-TX,US,1002.0,29.3742008209,-100.927001953
DSM,"Des Moines, IA: Des Moines International",Des Moines,US-IA,US,958.0,41.53400039672852,-93.66310119628906
DTW,"Detroit, MI: Detroit Metro Wayne County",Detroit,US-MI,US,645.0,42.212398529052734,-83.35340118408203
DUT,"Unalaska, AK: Unalaska Airport",Unalaska,US-AK,US,22.0,53.900100708,-166.544006348
DVL,"Devils Lake, ND: Devils Lake Regional",Devils Lake,US-ND,US,1456.0,48.11420059,-98.90879822
EAR,"Kearney, NE: Kearney Regional",Kearney,US-NE,US,2131.0,40.72700119,-99.00679779
EAT,"Wenatchee, WA: Pangborn Memorial",Wenatchee,US-WA,US,1249.0,47.3988990784,-120.207000732
EAU,"Eau Claire, WI: Chippewa Valley Regional",Eau Claire,US-WI,US,913.0,44.86579895019531,-91.48429870605467
ECP,"Panama City, FL: Northwest Florida Beaches International",Panama City Beach,US-FL,US,69.0,30.357106,-85.795414
EFD,"Houston, TX: Ellington",Houston,US-TX,US,32.0,29.6072998047,-95.1587982178
EGE,"Eagle, CO: Eagle County Regional",Eagle,US-CO,US,6548.0,39.64260101,-106.9179993
EKO,"Elko, NV: Elko Regional",Elko,US-NV,US,5140.0,40.82490158081055,-115.79199981689452
ELM,"Elmira/Corning, NY: Elmira/Corning Regional",Elmira/Corning,US-NY,US,954.0,42.1599006652832,-76.8916015625
ELP,"El Paso, TX: El Paso International",El Paso,US-TX,US,3959.0,31.80719948,-106.3779984
ENV,"Wendover, UT: Wendover Airport",Wendover,US-UT,US,4237.0,40.7187004089,-114.03099823
ERI,"Erie, PA: Erie International/Tom Ridge Field",Erie,US-PA,US,732.0,42.0831270134,-80.1738667488
ESC,"Escanaba, MI: Delta County",Escanaba,US-MI,US,609.0,45.7226982117,-87.0936965942
EUG,"Eugene, OR: Mahlon Sweet Field",Eugene,US-OR,US,374.0,44.12459945678711,-123.21199798583984
EVV,"Evansville, IN: Evansville Regional",Evansville,US-IN,US,418.0,38.0369987488,-87.5324020386
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",New Bern,US-NC,US,18.0,35.0730018616,-77.04290008539999
EWR,"Newark, NJ: Newark Liberty International",Newark,US-NJ,US,18.0,40.692501068115234,-74.168701171875
EYW,"Key West, FL: Key West International",Key West,US-FL,US,3.0,24.556100845336918,-81.75959777832031
FAI,"Fairbanks, AK: Fairbanks International",Fairbanks,US-AK,US,439.0,64.81510162,-147.8560028
FAR,"Fargo, ND: Hector International",Fargo,US-ND,US,902.0,46.92070007324219,-96.81580352783205
FAT,"Fresno, CA: Fresno Yosemite International",Fresno,US-CA,US,336.0,36.77619934082031,-119.71800231933594
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",Fayetteville,US-NC,US,189.0,34.9911994934082,-78.88030242919922
FCA,"Kalispell, MT: Glacier Park International",Kalispell,US-MT,US,2977.0,48.31050109863281,-114.25599670410156
FLG,"Flagstaff, AZ: Flagstaff Pulliam",Flagstaff,US-AZ,US,7014.0,35.13850021,-111.6709976
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Fort Lauderdale,US-FL,US,9.0,26.072599411010746,-80.15270233154297
FLO,"Florence, SC: Florence Regional",Florence,US-SC,US,146.0,34.18539810180664,-79.7238998413086
FMN,"Farmington, NM: Four Corners Regional",Farmington,US-NM,US,5506.0,36.7411994934,-108.230003357
FNL,"Fort Collins/Loveland, CO: Northern Colorado Regional",Fort Collins/Loveland,US-CO,US,5016.0,40.4518013,-105.011001587
FNT,"Flint, MI: Bishop International",Flint,US-MI,US,782.0,42.96540069580078,-83.74359893798828
FOD,"Fort Dodge, IA: Fort Dodge Regional",Fort Dodge,US-IA,US,1156.0,42.55149841,-94.19259644
FOE,"Topeka, KS: Topeka Regional",Topeka,US-KS,US,1078.0,38.9509010315,-95.6635971069
FSD,"Sioux Falls, SD: Joe Foss Field",Sioux Falls,US-SD,US,1429.0,43.5820007324,-96.741897583
FSM,"Fort Smith, AR: Fort Smith Regional",Fort Smith,US-AR,US,469.0,35.33660125732422,-94.36740112304688
FWA,"Fort Wayne, IN: Fort Wayne International",Fort Wayne,US-IN,US,814.0,40.97850037,-85.19509888
GCC,"Gillette, WY: Gillette Campbell County",Gillette,US-WY,US,4365.0,44.3488998413,-105.539001465
GCK,"Garden City, KS: Garden City Regional",Garden City,US-KS,US,2891.0,37.9275016785,-100.723999023
GEG,"Spokane, WA: Spokane International",Spokane,US-WA,US,2376.0,47.61989974975586,-117.53399658203124
